yahoo_ticker,sector,industry,quote_type,sector_source
TOL,Consumer Cyclical,Residential Construction,EQUITY,yfinance_info
TOT,,,EQUITY,no_sector_in_info
TOTF,,,,no_sector_in_info
TPL,Energy,Oil & Gas E&P,EQUITY,yfinance_info
TPR,Consumer Cyclical,Luxury Goods,EQUITY,yfinance_info
TRA,,,MUTUALFUND,no_sector_in_info
TRB,,,MUTUALFUND,no_sector_in_info
TRGP,Energy,Oil & Gas Midstream,EQUITY,yfinance_info
TRI,Industrials,Specialty Business Services,EQUITY,yfinance_info
TRMB,Technology,Scientific & Technical Instruments,EQUITY,yfinance_info
TRN,Industrials,Railroads,EQUITY,yfinance_info
TROW,Financial Services,Asset Management,EQUITY,yfinance_info
TRP,Energy,Oil & Gas Midstream,EQUITY,yfinance_info
TRQ,,,NONE,no_sector_in_info
TRTN,,,NONE,no_sector_in_info
TRV,Financial Services,Insurance - Property & Casualty,EQUITY,yfinance_info
TRW,,,MUTUALFUND,no_sector_in_info
TSCO,Consumer Cyclical,Specialty Retail,EQUITY,yfinance_info
TSLA,Consumer Cyclical,Auto Manufacturers,EQUITY,yfinance_info
TSM,Technology,Semiconductors,EQUITY,yfinance_info
TSO,,,MUTUALFUND,no_sector_in_info
TT,Industrials,Building Products & Equipment,EQUITY,yfinance_info
TTC,Industrials,Tools & Accessories,EQUITY,yfinance_info
TTD,Communication Services,Advertising Agencies,EQUITY,yfinance_info
TTEF,,,,no_sector_in_info
TTM,,,NONE,no_sector_in_info
TTWO,Communication Services,Electronic Gaming & Multimedia,EQUITY,yfinance_info
TUP,,,NONE,no_sector_in_info
TWC,,,MUTUALFUND,no_sector_in_info
TWLO,Technology,Software - Infrastructure,EQUITY,yfinance_info
TWO,Real Estate,REIT - Mortgage,EQUITY,yfinance_info
TWOU,,,,no_sector_in_info
TWTR,,,NONE,no_sector_in_info
TWX,,,MUTUALFUND,no_sector_in_info
TXN,Technology,Semiconductors,EQUITY,yfinance_info
TXU,,,MUTUALFUND,no_sector_in_info
TYC,,,MUTUALFUND,no_sector_in_info
UAL,Industrials,Airlines,EQUITY,yfinance_info
UARM,,,MUTUALFUND,no_sector_in_info
UBER,Technology,Software - Application,EQUITY,yfinance_info
UBND,,,ETF,no_sector_in_info
UBNT,,,NONE,no_sector_in_info
UBS,Financial Services,Banks - Diversified,EQUITY,yfinance_info
UDR,Real Estate,REIT - Residential,EQUITY,yfinance_info
UGI,Utilities,Utilities - Regulated Gas,EQUITY,yfinance_info
UHAL,Industrials,Rental & Leasing Services,EQUITY,yfinance_info
UHS,Healthcare,Medical Care Facilities,EQUITY,yfinance_info
UI,Technology,Communication Equipment,EQUITY,yfinance_info
UITB,,,ETF,no_sector_in_info
UL,Consumer Defensive,Household & Personal Products,EQUITY,yfinance_info
ULTA,Consumer Cyclical,Specialty Retail,EQUITY,yfinance_info
UMPQ,,,NONE,no_sector_in_info
UN,,,NONE,no_sector_in_info
UNFI,Consumer Defensive,Food Distribution,EQUITY,yfinance_info
UNH,Healthcare,Healthcare Plans,EQUITY,yfinance_info
UNM,Financial Services,Insurance - Life,EQUITY,yfinance_info
UNP,Industrials,Railroads,EQUITY,yfinance_info
UPL,,,NONE,no_sector_in_info
UPS,Industrials,Integrated Freight & Logistics,EQUITY,yfinance_info
URI,Industrials,Rental & Leasing Services,EQUITY,yfinance_info
USAI,,,ETF,no_sector_in_info
USB,Financial Services,Banks - Regional,EQUITY,yfinance_info
USDF,,,NONE,no_sector_in_info
USG,,,ETF,no_sector_in_info
